Dien_nang_tieu_thu_kWh,Nhiet_do_moi_truong_C,Thoi_gian_trong_ngay_h
46.290534768769916,23.149084162219538,22
53.4444557677975,23.787485275000172,3
18.145522756719394,26.836379145617443,17
35.97269024397967,22.720035088479136,4
30.517697405225203,31.24814912353949,15
42.675364739482184,31.247956162689622,13
46.08133471334674,26.214387497669044,18
42.242366728775885,36.929409166199484,13
27.09598877618739,21.45454122269871,8
39.92679289996371,23.442772258977605,5
41.81047206621966,30.16467595436642,16
42.876971265620305,25.65283303195374,18
34.67120067070649,24.282782144493254,11
49.376249686181254,25.08258677366657,3
31.555550656967924,31.454599737656807,15
11.152427197381439,21.693966896419354,10
40.898172604022115,20.33197860407925,21
49.81937393889567,22.576540281565837,3
20.100341321921036,33.45556014913693,16
20.42192235527309,26.86347931197863,7
23.625306032728535,34.89482315777904,13
54.7642120380164,23.48317058719801,1
38.931971962030325,27.624960915153103,10
13.088759012362475,25.753961604606655,10
43.90438322949784,27.4413216229004,23
57.67407916565069,24.220703786177324,21
39.82102046147006,22.071234198345117,23
43.99834299733264,20.422613490917776,5
51.29480794677216,25.808678811870806,20
39.13716823890662,20.970423984044274,20
17.61630381243445,34.860358815211505,13
36.022638609468,24.25976726307118,9
33.77802468465186,24.51533270223798,7
59.998836167484,24.80466557589709,6
24.726735408725265,21.330042642797604,7
19.46211614040693,23.03789923857319,7
46.9792330356446,24.937553816935733,22
54.73550361749723,27.758550917070277,1
37.69848498514961,35.473864212097254,15
16.421131833518274,27.380830056751662,8
44.04693254501447,30.976305878758232,12
37.60009951779128,24.733735751139204,22
15.611513129908362,21.536186953090755,11
54.25638348524463,25.333485215140104,21
40.53976571307605,32.070239852800135,16
51.68964160591465,24.81975336365813,1
23.789731382408586,32.49368860871529,12
47.135719989590775,24.229252831914206,0
42.06527598091239,22.67554021694483,18
35.87444264262959,24.154501541138426,10
51.1527606845005,21.580447245427827,4
60.17695167195464,26.441395178883013,0
34.033939994525596,21.486215637589662,19
33.80868285458454,37.15861880342119,12
24.07566905710315,23.48996821085726,7
56.694452043355824,25.266459516048496,5
29.099577039936165,30.707940016415357,16
28.327129901304165,22.214033055610468,11
42.47985754313992,24.465369471123527,0
44.14859952862902,22.7760186832976,2
25.102175923845877,33.10941831751585,13
14.724145926027578,27.381161116828576,7
26.017237036542156,24.018974559776765,10
23.982171768449263,32.85402661354871,13
16.784762620352627,25.897059311653113,7
44.48197228380924,20.29370354786453,2
36.38832408076801,23.79815204834921,6
48.052775399331594,22.690587154162667,18
44.89680009846119,27.36428708082044,3
52.82783238638466,37.89509549280414,15
51.96394802777835,36.17795815437326,12
44.73420050685725,25.925308648533008,19
50.492684867197426,23.88014390019233,18
31.604076664550814,20.683224241301772,4
67.55433459565926,27.77969112022322,22
48.84317438931226,24.144083451008783,4
38.44707448047906,24.91348995455209,19
40.33762804403666,21.89287826166006,23
37.63621879971749,23.86798468085443,3
44.35773794316646,23.433195935666575,1
40.16845254354052,36.904827407004746,12
36.97893282097126,34.98638501462047,15
50.294967941781564,26.699780156950197,21
35.48959023302112,21.918559617652722,1
37.62030331562437,21.559666171989043,18
36.26297930547569,32.60146657621398,16
60.34103887780278,26.149977050900105,4
18.789296514210804,20.495572148631904,17
51.576490950373675,24.614463357106047,22
38.6121994777301,20.953683542724587,20
14.635919840893225,20.291688406604948,17
13.50742572141445,20.42195161729774,7
31.467047399433874,36.08628038893518,14
46.45873818419705,34.49021758055597,12
48.02757480673361,36.16773743963649,12
29.972203888955192,33.95036477091513,15
48.24671536117559,26.7519477755362,21
45.503745192220634,22.099267011914414,19
22.3869298704235,30.20335301395276,12
31.0214588304454,20.31938026051001,19
46.38008061813446,23.59262811307901,1
38.351571616993034,24.62090464509707,2
48.16800679596125,32.514847848610614,14
46.689919502886895,22.659413537394922,22
53.29666722118044,22.524265445305083,18
23.11922486699272,31.994337833191,12
36.00570281419277,22.934386565170147,4
39.90962752647428,20.795957350983716,21
54.434724241532635,26.13276755769641,5
20.43979449749118,30.615839278630343,13
62.889747749086936,27.760595653333656,3
60.41608966693136,26.92056879500315,21
59.6180875799036,24.806337194716953,18
38.62768904680088,25.60692557795104,22
38.25055134182568,22.281646421443313,6
58.28709861742373,25.046163361380966,3
51.323791593998536,23.64519639551902,1
57.120896495318824,23.856138718215462,6
40.58354703057431,26.062212483001264,2
43.040369555011736,34.314737935325205,14
46.645241651929965,22.544316893556157,0
42.07307827068286,27.397134329029093,1
28.438847543636292,20.44979435880778,9
37.62875327692018,30.880415396221416,15
18.233847028545046,31.823481300335533,14
44.12558988816436,24.882904062545258,23
36.28959278620235,36.544118127379946,14
49.67722953902303,36.885844666050744,13
53.63585948354586,22.746203912515586,21
40.28393522664855,34.08597842062053,13
43.23677807684044,24.473745054147663,5
23.271325934801112,31.776862483765843,13
34.79614443629637,30.958922938669463,16
19.329565253044297,20.128225251640984,17
62.92071257892163,27.709481509496392,19
37.06328695196875,23.015889338294734,18
21.14685716563486,34.15032497394693,16
40.935418449024105,35.62415167116142,15
27.175216562667508,25.464914285784374,7
63.68973096407443,27.46053366964769,6
54.39417947428703,24.605322023979358,19
20.364011606123288,21.008922579003283,11
35.12232645020197,24.653772219787815,8
29.088283475667094,32.407026478534156,13
51.127997732009646,23.25133229259215,19
67.58212883768937,27.038701983531745,0
32.34138911854926,25.189463626858917,9
34.677368201578844,34.02143218583089,16
41.297803725324535,30.411830009999914,16
28.72837763302265,32.22917171389289,16
49.5581132325999,22.47753368884151,3
23.625456747904536,31.91649512533578,16
21.27697889682322,27.2706119817349,17
44.62755509842273,26.083200538299863,19
50.92221465237389,25.411186951280047,22
48.86128549089324,22.40773055705297,1
15.655853086270756,21.47235817640171,7
26.412474966414468,36.09295692262974,12
41.81853521179923,23.79326356703264,22
39.98094392705908,21.806316417205032,21
48.40783872451647,24.932975825322202,19
41.23856240216058,20.322670817107614,21
34.16788069169009,35.06823768608716,14
47.33531601483336,23.748455956729078,19
38.10070469479244,21.183666672875248,22
17.44035286847785,27.877235820726717,8
33.53537396539152,21.672778916716915,2
35.688183529541895,21.042825040346123,2
45.02885792222371,21.628278991095172,1
59.78760925063407,26.152489065277795,0
36.08959183194003,35.42051489473826,13
19.282488248985263,30.13270263142285,16
34.54482688539719,34.09674446639425,12
36.600398318765144,20.275450468586516,18
57.773517467700295,23.56660439861613,22
17.732931569262316,31.394931432039932,14
44.858891186334304,35.52750190481973,13
37.032175829689,20.69365254076512,1
49.18984405302503,24.30690481680818,6
38.17835866393114,31.100167553167946,16
27.24667518586331,23.10378203518309,17
44.639033119682665,26.636526651426948,5
47.927437141168724,21.06956523519549,20
24.07414277399551,27.48315591734239,7
