Dien_nang_tieu_thu_kWh,Nhiet_do_moi_truong_C,Thoi_gian_trong_ngay_h
4.0581311290499436,22.872710405548844,22
9.531785910894204,24.468713187500427,3
7.453942447208348,32.090947864043606,17
6.187255599871848,21.80008772119784,4
1.982177084203147,32.39299369624342,15
1.981947943193925,16.76268861953383,13
1.0517943155978948,30.535968744172614,18
8.728673384861883,31.95095266109473,13
6.210592611560483,18.636353056746774,8
7.226689489062432,23.60693064744401,5
0.6955526958101232,18.309995493273114,16
9.714143595538946,29.132082579884354,18
8.408205087604006,25.706955361233135,11
2.5172215514436234,27.70646693416642,3
2.2273371884674558,18.92973933912422,15
2.2423428436076214,19.23491724104839,10
3.3903013081156086,15.829946510198127,21
5.48518610050626,21.441350703914594,3
4.603477677100099,26.1948932266735,16
3.2666768318813983,32.15869827994658,7
6.312602499862605,28.338548949173614,13
1.8251916761943974,23.70792646799503,1
3.2753741610845726,34.062402287882755,10
3.980437511290071,29.38490401151664,10
4.832664850061842,33.603304057251,23
7.9591716332336295,25.55175946544331,21
2.3969009305044175,20.178085495862792,23
5.385227164929311,16.05653372729444,5
6.127938404189403,29.52169702967701,20
0.9412789208399783,17.42605996011068,20
6.271676093063665,21.055502565439344,13
2.1199791750292696,25.64941815767795,9
1.1179901333601554,26.288331755594953,7
9.514412603906665,27.01166393974272,6
9.673504314208314,18.325106606994012,7
8.17977480710638,22.594748096432973,7
3.3938308071470216,27.34388454233933,22
1.4278850830606467,34.396377292675695,1
7.00021375186549,29.552622753993774,15
4.681448690526213,33.452075141879156,8
1.6593632310253987,30.24424116628354,12
5.2041806460570665,26.83433937784801,22
0.8266909505945748,18.840467382726892,11
9.13854381974843,28.33371303785026,21
2.9584098252001607,27.467591319198142,16
6.793961701362829,27.049383409145328,1
3.4612552228494042,24.795717359764815,12
5.440646201189203,25.573132079785513,0
5.693747653761156,21.688850542362083,18
2.2561173274925066,25.386253852846064,10
9.711053963763307,18.951118113569564,4
7.863761821930588,31.103487947207537,0
9.425239944859797,18.715539093974158,19
9.000859829062664,16.699325797789328,12
6.1800497987053085,23.724920527143148,7
9.25780523271961,28.166148790121238,5
1.3406787694932352,23.754336498670828,16
2.3618371929818793,20.53508263902617,11
0.9296592446501116,26.163423677808815,0
3.590638142251011,21.940046708243997,2
4.192434252050079,33.65735380253266,13
3.077815801852011,33.45290279207144,7
8.373006336943329,25.04743639944191,10
3.889156603589098,21.55767988036517,13
3.1688778420301174,29.74264827913278,7
5.65561279000336,15.734258869661332,2
1.8387801372602453,24.495380120873023,6
8.120871317163378,21.72646788540667,18
1.2082311149578229,33.410717702051095,3
9.875425897704915,15.240060545453652,15
7.836325308318245,26.05629751436698,12
2.387798974574638,29.813271621332518,19
0.5524601126742228,24.700359750480825,18
8.246883570320925,16.708060603254435,4
7.2151447665523625,34.44922780055805,22
7.425568096389379,25.360208627521956,4
7.827068293516485,27.283724886380227,19
1.2034241914738584,19.732195654150146,23
3.90542442117059,24.669961702136078,3
1.6007560654887323,23.582989839166437,1
8.699482545818139,16.497916840039675,12
6.4213322048618,17.123207070949345,15
3.6435312361001673,31.74945039237549,21
1.1038043277172245,19.796399044131803,1
3.454332056298791,18.899165429972612,18
3.5892415592540967,25.098229025002787,16
7.431258694211609,30.37494262725026,4
6.556795977874525,16.23893037157976,17
8.928521054475102,26.536158392765117,22
4.986041789038518,17.38420885681147,20
1.636145336413866,15.72922101651237,17
7.275825478618453,16.05487904324435,7
7.727457961860526,31.683282164168826,14
5.832133376910214,17.359449672561233,12
7.824188209568329,15.90302728824584,12
5.191058165461712,23.757997742858244,15
5.465961879128944,31.879869438840494,21
4.561639674406221,20.248167529786038,19
0.7414817040689043,23.434252350518328,12
1.5249685564363924,15.798450651275024,19
0.7985772640239754,23.98157028269752,1
6.545898907005914,26.552261612742676,2
3.4863818202251036,26.418141075042897,14
5.331421566064677,21.648533843487304,22
9.121881502297883,21.31066361326271,18
2.868276176914312,17.132472378731958,12
4.398637768838483,22.335966412925366,4
7.677735816158963,16.989893377459293,21
2.6735825721704134,30.33191889424103,5
1.2313091433735335,34.32548595496372,13
3.252638802680796,34.40148913333414,3
2.0316022289130418,32.30142198750788,21
9.332127697254444,27.015842986792382,18
8.17714360586196,29.0173139448776,22
6.517335686849023,20.70411605360828,6
8.778875606783318,27.615408403452413,3
