Toc_do_trung_binh_kmh,Tang_toc_trung_binh_ms2,Tan_suat_phanh_gap,So_chu_ky_sac_xa_pin,Dung_luong_pin_giam_%
57.5183538429154,1.408458427491241,0,189,1.576540487569686
71.36283052914996,2.6476942361258566,2,109,3.453803839460959
46.79021209760541,1.6700867323068176,3,221,0.5559364053376095
87.27098837862803,1.0336233306115232,5,199,3.218417895116741
75.008310220401,2.836513470193133,6,55,3.9756061544082355
39.29704300319519,2.4915011412459425,7,277,1.265691881889938
47.788300300765385,0.6391653651404978,12,76,1.3143585344108388
73.16687605795741,2.9973574049512943,3,288,0.629853649310663
109.88300916469726,2.2373167411002557,5,104,2.8060251747505767
80.97516485679877,0.9006664976014673,10,192,3.4456440059272273
91.33815001876238,1.0929192032464912,0,113,2.556093119380785
60.512569476951874,2.2311137031038673,7,298,2.252519643317953
81.42702537398108,2.449402638197805,1,66,2.5448576778215024
70.26418403742608,1.0975898578745154,7,52,4.016876984260948
89.32169213608447,1.142422134748177,19,59,0.6508143830541154
34.551800947110934,1.267801737180152,8,240,4.0271835237467375
74.39701946150632,1.9950459120915918,3,112,3.4985395205005605
56.63933626295703,0.9295404457531924,16,138,1.5864194937083895
59.35665551501184,0.7606079972119437,6,239,2.8613287680808197
116.48256884022553,2.1971602227137836,9,134,0.7218080179360004
46.44253314402445,2.447744849482925,4,295,2.2081490165268556
58.01207273207372,1.7523235110412636,9,153,1.283191155847107
75.89033181577847,1.4095817756709634,11,186,0.600351737092943
107.67242533346612,1.5801067838161909,19,201,2.1069027399468467
67.50030748857334,1.4710195846798797,5,81,3.7675058782749606
96.94787527993539,2.8999622705941883,0,52,4.644598403112819
107.07366883933221,2.420224763047851,2,299,3.4801858089079243
57.901472023966406,1.0202180371252756,6,210,2.308865576586757
65.3475165184839,1.4604728801349502,10,220,4.997732505808449
62.090060131952065,1.8600307284077746,11,158,1.7732457864509463
104.9570227756129,2.032464655159221,8,189,1.3420914471868124
33.9912175758241,1.6704597400719177,0,142,2.5865702115166314
57.7578979945812,2.5253165875298977,3,262,2.772101369488135
91.14677018356169,2.419015048645579,1,152,2.096705210194968
80.88991496088084,1.762894796570417,1,275,3.6297458557039404
69.26604233643249,2.636073466954326,16,146,1.327389853676977
78.59534044992459,2.3777238261059646,1,209,2.7965289188786273
47.78261272454864,2.446454621801608,3,197,2.750571313253547
68.76449594472093,2.8910019485835416,10,244,4.207038902067376
75.15326857587141,1.1661673530230066,18,117,4.671356894423622
111.10702097591415,1.169120405917123,12,194,3.484696431697968
53.475164652357876,2.7223806392266003,17,291,1.874172156505885
108.10456519484393,2.430565933464199,18,258,3.6032495894073095
87.98172607433838,2.8163638535890687,14,196,1.6311700815822543
31.83067479608409,0.6578254008111326,11,181,4.849449757157919
95.21682032094543,2.0693926931539917,10,142,4.200629535872208
33.19966897941496,0.8615708453086186,0,66,2.4403561495971706
119.76430141324317,1.7597429957314565,15,241,4.0295458271371825
108.53730189220781,0.8893673296336106,12,71,2.3389504041285867
56.76093727860411,0.8201962724621982,5,243,0.8357457145088654
53.16701071770349,0.5304208634550829,5,219,3.6804599285027244
64.3296973895048,2.075597030957261,9,253,2.3207622486279824
62.05502687829987,1.3975565417252152,1,222,4.6864391755273775
63.510403654684296,0.7629707121974292,2,60,1.8795254644817898
58.64488915075324,1.3070944443282746,5,230,4.2949976965456695
85.90200661634982,0.9223602286289624,15,281,3.561970303430439
44.78372973485615,2.8542370787541484,5,237,4.339960772575511
106.13831632014119,1.3000122144033703,12,78,1.8134684469209998
103.11622356281838,1.3348838082234746,3,69,2.5760543149338986
72.88348870697433,2.599645008498964,14,54,4.204080550559436
106.74569687506929,2.1193894032150107,5,202,3.3971846863304003
52.243056302726394,2.2754290185075035,0,83,2.119648547729006
31.580891013357025,2.0900045099724016,8,189,2.80398031569185
85.72871325268407,2.8654907098714135,11,77,4.98244142463474
71.21184662682438,1.017502078895113,10,147,3.8383159793624686
81.04480916662837,2.972598104389489,12,55,3.2653519375101308
110.94054681165628,2.577390443891283,0,295,4.225601211950821
117.29330162093491,1.9724314721908556,18,68,2.4891365244747656
87.10078257800427,2.1559290609906223,3,61,4.775288020910084
98.76500308671946,2.122064691251535,4,74,2.984095529130615
37.54275901384479,0.6459905601478848,16,62,1.9709246733182983
44.464402640235505,1.0450412463298466,4,258,0.8870898990723453
95.9884324457679,2.903677211311873,18,125,2.1906284866125056
68.82289107492016,1.8359110721484482,2,52,3.058872696664567
70.13687433639652,1.4458840081547801,10,73,3.664616624299599
57.7746913471893,2.4050961584726878,1,57,4.43802511809983
84.66207451299694,1.8112973566395238,13,161,4.747823758957167
46.66485408745824,0.532906928579744,5,277,0.9610423078150748
86.4224651382506,2.3405939917877947,18,169,3.2040724369901668
45.64189714217157,2.3305439001321533,0,172,3.499653421233617
35.74434312387422,0.912871780274936,6,139,1.2742871764701147
59.732191982915495,2.8916502210605333,1,94,2.9552030611853675
